1627530745.040137,-0.307707,-0.000469,-0.025242,0.976310,-0.174640,-0.124669,-0.027889
1627530745.056798,-0.307776,-0.000011,-0.024852,0.975884,-0.177320,-0.123919,-0.029193
1627530745.073460,-0.307841,0.000384,-0.024564,0.975492,-0.179402,-0.123760,-0.030238
1627530745.090122,-0.306447,0.000158,-0.025179,0.975322,-0.179992,-0.124182,-0.030490
1627530745.106783,-0.305965,-0.000018,-0.025303,0.975345,-0.179426,-0.124959,-0.029888
1627530745.123445,-0.305746,-0.000132,-0.025209,0.975426,-0.178742,-0.125488,-0.029117
1627530745.140107,-0.305614,-0.000066,-0.024922,0.975496,-0.178563,-0.125269,-0.028833
1627530745.156768,-0.305485,0.000153,-0.024551,0.975526,-0.178745,-0.124711,-0.029085
1627530745.173429,-0.304281,0.000484,-0.024361,0.975525,-0.179004,-0.124207,-0.029680
1627530745.190091,-0.303749,0.000710,-0.024226,0.975446,-0.179232,-0.124392,-0.030111
1627530745.206753,-0.303403,0.000780,-0.024257,0.975233,-0.179588,-0.125509,-0.030268
1627530745.223414,-0.303101,0.000757,-0.024410,0.974923,-0.180061,-0.127235,-0.030244
1627530745.240076,-0.302847,0.000802,-0.024479,0.974709,-0.180270,-0.128563,-0.030284
1627530745.256738,-0.302977,0.000267,-0.024445,0.974587,-0.180348,-0.129339,-0.030419
1627530745.273399,-0.302958,0.000270,-0.024338,0.974391,-0.180887,-0.129971,-0.030810
1627530745.290061,-0.302935,0.000414,-0.024184,0.974250,-0.181267,-0.130442,-0.031034
1627530745.306722,-0.302958,0.000584,-0.023967,0.974245,-0.181142,-0.130659,-0.031023
1627530745.323384,-0.303008,0.000740,-0.023757,0.974213,-0.181179,-0.130860,-0.030962
1627530745.340045,-0.303072,0.000889,-0.023537,0.974108,-0.181716,-0.130881,-0.031039
1627530745.356707,-0.302743,0.001266,-0.023241,0.973979,-0.182436,-0.130811,-0.031150
1627530745.373369,-0.302706,0.001488,-0.022958,0.973958,-0.182739,-0.130545,-0.031132
1627530745.390030,-0.302758,0.001701,-0.022708,0.974026,-0.182483,-0.130439,-0.030962
1627530745.406692,-0.302851,0.001909,-0.022489,0.974045,-0.182464,-0.130337,-0.030907
1627530745.423353,-0.302999,0.002126,-0.022229,0.974066,-0.182655,-0.129887,-0.031021
1627530745.440015,-0.303190,0.002379,-0.021904,0.974148,-0.182736,-0.129118,-0.031179
1627530745.456676,-0.303403,0.002682,-0.021540,0.974243,-0.182839,-0.128186,-0.031442
1627530745.473338,-0.303202,0.002786,-0.022118,0.974253,-0.183388,-0.127191,-0.031963
1627530745.490000,-0.303292,0.003036,-0.022094,0.974275,-0.183858,-0.126238,-0.032391
