1627530745.151341,-0.954895,0.000977,-0.391464
1627530745.161350,-0.948318,-0.011887,-0.362457
1627530745.171357,-0.935379,-0.011200,-0.347733
1627530745.181365,-0.921448,-0.022812,-0.335770
1627530745.191373,-0.905594,-0.030380,-0.315872
1627530745.201381,-0.903473,-0.029587,-0.311859
1627530745.211389,-0.910690,-0.028336,-0.319550
1627530745.221397,-0.919312,-0.024826,-0.347641
1627530745.231405,-0.934189,-0.021851,-0.397720
1627530745.241413,-0.949982,-0.016495,-0.431458
1627530745.251421,-0.953018,-0.021469,-0.421051
1627530745.261429,-0.940231,-0.027985,-0.392792
1627530745.271437,-0.930222,-0.032181,-0.382416
1627530745.281446,-0.919479,-0.039154,-0.382553
1627530745.291453,-0.907852,-0.039200,-0.390884
1627530745.301461,-0.911331,-0.037354,-0.395523
1627530745.311469,-0.915833,-0.038010,-0.370651
1627530745.321477,-0.918411,-0.028732,-0.361359
1627530745.331486,-0.920303,-0.022873,-0.370560
1627530745.341493,-0.916779,-0.022430,-0.369278
1627530745.351501,-0.916885,-0.022934,-0.372421
1627530745.361509,-0.927658,-0.015488,-0.390900
1627530745.371517,-0.941055,-0.015472,-0.396622
1627530745.381526,-0.944748,-0.023926,-0.386414
1627530745.391533,-0.936264,-0.025650,-0.370804
1627530745.401541,-0.925613,-0.027084,-0.363480
1627530745.411549,-0.917160,-0.030579,-0.378082
1627530745.421557,-0.919006,-0.031326,-0.392532
1627530745.431566,-0.925278,-0.027679,-0.396225
1627530745.441573,-0.931564,-0.023346,-0.397858
1627530745.451581,-0.933594,-0.024536,-0.390259
1627530745.461589,-0.928299,-0.023895,-0.379776
1627530745.471597,-0.925995,-0.028641,-0.373642
1627530745.481606,-0.926224,-0.032669,-0.374588
1627530745.491613,-0.925156,-0.032211,-0.374817
1627530745.501621,-0.919724,-0.038727,-0.376297
1627530745.511629,-0.866455,-0.088257,-0.406723
1627530745.521637,-0.883194,-0.021088,-0.391022
1627530745.531646,-0.943054,-0.019226,-0.346375
1627530745.541653,-0.936615,-0.039276,-0.365631
1627530745.551661,-0.911423,-0.033142,-0.387695
1627530745.561669,-0.913727,-0.035217,-0.387497
1627530745.571677,-0.923401,-0.027908,-0.377991
1627530745.581686,-0.918549,-0.025635,-0.368591
1627530745.591693,-0.912903,-0.029938,-0.365875
1627530745.601701,-0.914413,-0.028168,-0.370346
1627530745.611710,-0.915833,-0.028244,-0.364716
1627530745.621718,-0.917908,-0.025574,-0.354172
1627530745.631727,-0.918106,-0.024658,-0.361877
1627530745.641734,-0.917236,-0.028732,-0.368958
1627530745.651742,-0.909332,-0.022736,-0.345398
1627530745.661750,-0.914368,-0.002014,-0.263931
1627530745.671758,-0.927307,-0.017319,-0.358902
1627530745.681767,-0.922745,-0.006027,-0.394165
1627530745.691774,-0.931137,-0.005875,-0.349228
1627530745.701782,-0.935593,-0.013275,-0.355988
1627530745.711790,-0.932526,-0.023544,-0.346100
1627530745.721798,-0.924713,-0.018555,-0.368073
1627530745.731806,-0.922821,-0.014954,-0.404190
1627530745.741814,-0.926743,-0.014603,-0.420410
1627530745.751822,-0.933212,-0.009552,-0.431244
1627530745.761830,-0.930603,-0.009109,-0.453705
1627530745.771838,-0.929825,-0.009216,-0.468353
1627530745.781846,-0.931305,-0.014069,-0.451218
1627530745.791854,-0.926712,-0.019714,-0.437790
1627530745.801862,-0.927292,-0.019608,-0.425842
1627530745.811870,-0.932739,-0.033188,-0.407394
1627530745.821878,-0.918106,-0.046097,-0.389526
1627530745.831886,-0.898117,-0.048141,-0.385147
1627530745.841894,-0.900131,-0.049362,-0.380783
1627530745.851902,-0.915955,-0.049240,-0.361389
1627530745.861910,-0.925934,-0.055481,-0.350769
